,5
TAL VEZ,1
TALVEZ,1
TALVEZ/ QUIZÁS,1
TAMAÑO/ MEDIDA,1
TAMBIEN,2
TAMBIÉN,2
TANTO DINERO,1
TAREA,4
TE,2
TE DIJE,2
TE GUSTAS A ESE,1
TE QUEDAS,1
TE/ TÚ,1
TE/TÚ,1
TELEFONO,1
TEMA,7
TEN CUIDADO,1
TENER,16
TENER???,1
TENGO,3
TENGO IDEA,1
TERCERO,7
TERMINAR,13
TERMINAR O DIJO NADA MÁS,1
TERMINAR/ FIN,1
TERMINARON,1
TERMINÉ,2
TERMINÉ-NADA MÁS,1
TI,1
TIEMPO,3
TIEMPO DESPUÉS,1
TIENE,1
TIENES,2
TIMIDA/ CON ROCHE,1
TIRAR,2
TIRAR O GOLPEAR,1
TITULO,1
TITULO/ TEMA,1
TOCA,1
TOCAR,1
TODA,2
TODO,5
TODO JUNTOS,1
TONTA SOY/ TORPE,1
TONTO,1
TORPE,1
TRABAJAR,2
TRABAJO,2
TRANQUILA,2
TRANQUILO,1
TRANQUILO/ SASTIFECHO,1
TRANSPARENTE,1
TRATANDO DE DESCIFRAR,1
TRES? NUEVE?,1
TRISTE,7
TRISTEZA,2
TROTAR,10
TROTAR LIGERO,1
TROTAR/ CORRER,2
TU,14
TU Y YO/ NOSOTROS,1
TU/ TÚ,1
TÍ/ TU,2
TÍMIDA,1
TÍMIDA/ CON ROCHE,1
TÚ,36
TÚ Ó ÉL,1
TÚ-TÚ/  ESE/ AHÍ,1
TÚ/ UD,1
TÚ/USTEDES,1
U,1
UD.,1
UD/ TÚ,1
UN,3
UN - UNO,1
UN HOMBRE,1
UN(A),3
UN/ UNA,1
UN/ UNO,5
UN/ UNO(A),1
UN/UNA,2
UN? UNO?,1
UNA,4
UNA ,1
UNA MUJER,1
UNA/ AHÍ,1
UNA/ ELLA,1
UNA/ UNO,2
UNA/LA,2
UNO,17
UNO SE FUE,1
UNO(A),1
UNO/ EL/ ELLA,1
UY,2
UY!,1
UYY,2
VA - FUE,1
VACÍO,3
VACÍO O DESNUDO,1
VAMOS,7
VAMOS/ SALIMOS,1
VARIOS,1
VAS,1
VAYASE - VAYA,1
VENDADO,1
VENIR,3
VENTANA,4
VEO,3
VER,9
VER A TRAVES,1
VER VISION,1
VER/ MIRAR/FIJAR,1
VERDAD,1
VERDAD/ DE VERÁS,1
VERGONZAR,1
VERGUENZA,1
VESTIDO,2
VESTIR,6
VETE,1
VIENE,2
VIENEN,1
VIENTO,1
VIENTO MUY FUERTE,2
VIERON,5
VISION,3
VISIONES,1
VISITAR,1
VISIÓN/ SOÑAR ,1
VIÓ,4
VIÓ O SE FIJÓ,1
VIÓ Ó MIRÓ,1
VIÓ/ FIJÓ/ MIRÓ,1
VIÓ/ MIRÓ,5
VIÓ/ MIRÓ ,1
VOLAR,1
VOY,5
VOY/ SALIR,1
Y,3
YA,37
YA ,2
YA ESTÁ,2
YA ESTÁ/ TERMINAR,1
YA NO,1
YA PUES,2
YA SE,1
YA SÉ,8
YA/ AGUARDA,1
YA/ENTONCES,1
YA? NADA MÁS?,1
YA? O TERMINASTE?,1
YO,81
YO - YO,2
YO MISMA,1
YO MUJER,1
YO- YO,1
YO-YO,3
YO/ ME,2
YO/ MI,1
YO/ME,1
ÁRBOL,1
ÉL,20
ÉL/ ELLA,2
ÉL/ ESE,3
ÉSTA,2
ÉSTE (A),1
ÉSTE/ AHÍ,1
Ó,6
Ó ,1
